Post-2019 Westminster Parliamentary constituencies Code,Post-2019 Westminster Parliamentary constituencies,Sex (2 categories) Code,Sex (2 categories),Observation
E14001196,Dewsbury and Batley,2,Male,51496
E14001197,Didcot and Wantage,1,Female,53965
E14001197,Didcot and Wantage,2,Male,52253
E14001198,Doncaster Central,1,Female,55890
E14001198,Doncaster Central,2,Male,56250
E14001199,Doncaster East and the Isle of Axholme,1,Female,46941
E14001199,Doncaster East and the Isle of Axholme,2,Male,46736
E14001200,Doncaster North,1,Female,49551
E14001200,Doncaster North,2,Male,47161
E14001201,Dorking and Horley,1,Female,48037
E14001201,Dorking and Horley,2,Male,45778
E14001202,Dover and Deal,1,Female,52796
E14001202,Dover and Deal,2,Male,50277
E14001203,Droitwich and Evesham,1,Female,51926
E14001203,Droitwich and Evesham,2,Male,50058
E14001204,Dudley,1,Female,51422
E14001204,Dudley,2,Male,49555
E14001205,Dulwich and West Norwood,1,Female,56129
E14001205,Dulwich and West Norwood,2,Male,50970
E14001206,Dunstable and Leighton Buzzard,1,Female,54527
E14001206,Dunstable and Leighton Buzzard,2,Male,53453
E14001207,Ealing Central and Acton,1,Female,68106
E14001207,Ealing Central and Acton,2,Male,64320
E14001208,Ealing North,1,Female,65037
E14001208,Ealing North,2,Male,62719
E14001209,Ealing Southall,1,Female,62520
E14001209,Ealing Southall,2,Male,62382
E14001210,Earley and Woodley,1,Female,53416
E14001210,Earley and Woodley,2,Male,52298
E14001211,Easington,1,Female,47885
E14001211,Easington,2,Male,45291
E14001212,East Grinstead and Uckfield,1,Female,49157
E14001212,East Grinstead and Uckfield,2,Male,46450
E14001213,East Ham,1,Female,65170
E14001213,East Ham,2,Male,65864
E14001214,East Hampshire,1,Female,46909
E14001214,East Hampshire,2,Male,43947
E14001215,East Surrey,1,Female,51306
E14001215,East Surrey,2,Male,47859
E14001216,East Thanet,1,Female,54457
E14001216,East Thanet,2,Male,50617
E14001217,East Wiltshire,1,Female,50258
E14001217,East Wiltshire,2,Male,50911
E14001218,East Worthing and Shoreham,1,Female,51339
E14001218,East Worthing and Shoreham,2,Male,48284
E14001219,Eastbourne,1,Female,53157
E14001219,Eastbourne,2,Male,48532
E14001220,Eastleigh,1,Female,47701
E14001220,Eastleigh,2,Male,45853
E14001221,Edmonton and Winchmore Hill,1,Female,66185
E14001221,Edmonton and Winchmore Hill,2,Male,60623
