Constituen,gss_code,Leave.preds,Remain.preds,LeavePct,RemainPct
Exmouth and Exeter East,E14001232,26324.44121,25828.499,0.504754691,0.495245309
Falkirk,S14000083,20324.50192,27468.22429,0.425263498,0.574736502
Fareham and Waterlooville,E14001233,34186.977,23514.79624,0.592477061,0.407522939
Farnham and Bordon,E14001234,25818.66582,33255.71771,0.437053496,0.562946504
Faversham and Mid Kent,E14001235,30140.93817,22275.40029,0.575029448,0.424970552
Feltham and Heston,E14001236,30440.17461,19973.92082,0.603802852,0.396197148
Filton and Bradley Stoke,E14001237,25153.7304,26055.33107,0.491196864,0.508803136
Finchley and Golders Green,E14001238,17540.85027,38552.54332,0.312707953,0.687292047
Folkestone and Hythe,E14001239,31853.30327,18309.94516,0.634992834,0.365007166
Forest of Dean,E14001240,31551.28201,22856.92072,0.579899361,0.420100639
Frome and East Somerset,E14001241,26245.23876,23636.61726,0.526148,0.473852001
Fylde,E14001242,31145.55167,24036.50724,0.564414454,0.435585546
Gainsborough,E14001243,33847,20906,0.618176173,0.381823827
Gateshead Central and Whickham,E14001244,29736.80314,24760.4367,0.54565705,0.45434295
Gedling,E14001245,32531.01768,24876.02036,0.566672986,0.433327014
Gillingham and Rainham,E14001246,33815.85119,19280.37848,0.636878577,0.363121423
Glasgow East,S14000084,13167.67152,21350.34693,0.381472405,0.618527595
Glasgow North,S14000085,19128.45068,25054.92433,0.432933217,0.567066783
Glasgow North East,S14000086,15041.61273,23194.98752,0.393382587,0.606617413
Glasgow South,S14000087,10745.99026,34081.62124,0.239718109,0.760281891
Glasgow South West,S14000088,11738.02513,24819.46094,0.321084035,0.678915965
Glasgow West,S14000089,11485.1589,35119.24381,0.246439354,0.753560646
Glastonbury and Somerton,E14001247,28319.26696,25046.31804,0.530665352,0.469334648
Glenrothes and Mid Fife,S14000090,18982.37856,21120.25329,0.473344957,0.526655043
Gloucester,E14001248,32387.01624,22535.04628,0.589690459,0.410309541
Godalming and Ash,E14001249,26297.77231,30448.72129,0.463425503,0.536574498
Goole and Pocklington,E14001250,34980.19052,23331.29774,0.599885058,0.400114942
Gordon and Buchan,S14000091,22350.29196,26944.02377,0.453405056,0.546594944
Gorton and Denton,E14001251,23661.4079,20639.02673,0.53411232,0.465887681
Gosport,E14001252,35690.99307,22003.15345,0.618624163,0.381375838
Gower,W07000097,27379.04912,29280.34895,0.483221673,0.516778327
Grantham and Bourne,E14001253,35849.86544,21739.00219,0.622513811,0.377486189
Gravesham,E14001254,35643,18876,0.65377208,0.346227921
Great Grimsby and Cleethorpes,E14001255,36895.40679,15946.30288,0.698225077,0.301774923
Great Yarmouth,E14001256,35844,14284,0.715049473,0.284950527
Greenwich and Woolwich,E14001257,3011.824529,9594.614054,0.238911609,0.761088391
Guildford,E14001258,22170.03141,31927.09381,0.409819031,0.59018097
Hackney North and Stoke Newington,E14001259,10324.86711,39086.74196,0.208956302,0.791043698
Hackney South and Shoreditch,E14001260,9270.464852,33293.04975,0.217803087,0.782196914
Halesowen,E14001261,32869.79065,16396.79566,0.667182225,0.332817775
Halifax,E14001262,31013.01291,20578.26524,0.60112899,0.39887101
Hamble Valley,E14001263,29427.5564,28259.30536,0.510125798,0.489874202
