ONSConstID,ConstituencyName,Country,Region,ConstituencyType,Winner24,Second24,Con24,Lab24,LD24,SNP24,PC24,Green24,RUK24,Other24,Majority24,Turnout24,ConVote24,LabVote24,LDVote24,SNPVote24,PCVote24,GreenVote24,RUKVote24,OtherVote24,TotalVote24,RejectedVote24,Electorate24,MPFirstName24,MPSurname24,MPGender24
E14001372,Morecambe and Lunesdale,England,North West,County,Lab,Con,28.68973553340685,40.78944630558272,9.923219376183441,0,0,4.346740464845294,16.25085831998169,0,12.099710772175868,62.88469590704491,13788,19603,4769,0,0,2089,7810,0,48059,171,76424,Lizzi,Collinge,Female
S14000099,"Motherwell, Wishaw and Carluke",Scotland,Scotland,County,Lab,SNP,6.188182237482704,49.1159739660739,2.106288115615231,30.9614103418234,0,3.0748731614820892,7.697432480910163,0.8558396966125148,18.1545636242505,54.3711773966591,2415,19168,822,12083,0,1200,3004,334,39026,125,71777,Pamela,Nash,Female
S14000027,Na h-Eileanan an Iar,Scotland,Scotland,County,Lab,SNP,4.782672974571259,49.46777054997043,2.8237729154346543,21.11176818450621,0,0,5.152276759314015,16.66173861620343,28.35600236546422,63.43728018757327,647,6692,382,2856,0,0,697,2254,13528,53,21325,Torcuil,Crichton,Male
W07000103,Neath and Swansea East,Wales,Wales,County,Lab,RUK,9.380372225128934,41.84916660438,5.839998006826619,0,13.329346986570995,4.262899568976256,25.338216608117197,0,16.5109499962628,52.61039965395656,3765,16797,2344,0,5350,1711,10170,0,40137,132,76291,Carolyn,Harris,Female
E14001373,New Forest East,England,South East,County,Con,Lab,38.4965730709706,19.714791067875304,15.914216228167147,0,0,6.893654653990715,16.90470926376299,2.0760557152332524,18.78178200309529,64.04882607833697,17412,8917,7198,0,0,3118,7646,939,45230,146,70618,Julian,Lewis,Male
E14001374,New Forest West,England,South East,County,Con,Lab,35.41877980879211,23.33340527008654,17.666227852472108,0,0,6.042687269352785,16.351943371387875,1.186956427908583,12.08537453870557,67.50335062059321,16412,10812,8186,0,0,2800,7577,550,46337,152,68644,Desmond,Swayne,Male
E14001375,Newark,England,East Midlands,County,Con,Lab,39.22258179165342,32.5408256794927,5.660412652687106,0,0,4.386539216970014,15.488505209599882,2.7011354495968876,6.681756112160721,67.0055024253287,20968,17396,3026,0,0,2345,8280,1444,53459,198,79783,Robert,Jenrick,Male
E14001376,Newbury,England,South East,County,LD,Con,35.291232372777436,7.484161046392806,40.14919272430002,0,0,5.546699366441856,10.948293480482322,0.580421009605559,4.857960351522584,67.97532716512461,17268,3662,19645,0,0,2714,5357,284,48930,173,71982,Lee,Dillon,Male
E14001377,Newcastle upon Tyne Central and West,England,North East,Borough,Lab,RUK,10.223673074597993,45.641397654455325,4.705597872083183,0,0,7.805585781646718,18.897352194414218,12.726393422802563,26.744045460041104,53.83223555752259,4228,18875,1946,0,0,3228,7815,5263,41355,167,76822,Chi,Onwurah,Female
E14001378,Newcastle upon Tyne East and Wallsend,England,North East,Borough,Lab,RUK,8.3221095909832,50.09333427849059,7.00597811960965,0,0,12.42172916518986,19.808133078140873,2.348715767585832,30.28520120034971,55.506590596104665,3522,21200,2965,0,0,5257,8383,994,42321,123,76245,Mary,Glindon,Female
E14001379,Newcastle upon Tyne North,England,North East,Borough,Lab,Con,13.735935989468704,50.27048151881029,12.209720879527737,0,0,10.35645967459942,12.20355019849024,1.2238517391036057,36.534545529341585,65.02380697624652,6678,24440,5936,0,0,5035,5933,595,48617,197,74768,Catherine,McKinnell,Female
E14001380,Newcastle-under-Lyme,England,West Midlands,County,Lab,Con,27.570801150991976,40.36549043364128,5.015397041748701,0,0,4.67211873390883,22.37619263970922,0,12.794689282649301,58.42070338420703,10923,15992,1987,0,0,1851,8865,0,39618,158,67815,Adam,Jogee,Male
W07000104,Newport East,Wales,Wales,County,Lab,RUK,16.83579455503361,42.48527159949132,5.307414808855207,0,5.810905504658587,5.429394513508604,19.10409799901378,5.027121019438893,23.38117360047754,50.24712126546953,6487,16370,2045,0,2239,2092,7361,1937,38531,154,76683,Jessica,Morden,Female
W07000105,Newport West and Islwyn,Wales,Wales,County,Lab,RUK,15.994851135848966,41.498414817286836,4.974851612595647,0,8.412195180091059,4.953398011966342,20.359466997211033,3.8068222450001197,21.138947820075803,55.35528138813749,6710,17409,2087,0,3529,2078,8541,1597,41951,163,75785,Ruth,Jones,Female
E14001381,Newton Abbot,England,South West,County,LD,Con,26.99408234705784,14.8253875645941,31.674029004834136,0,0,4.340306717786298,17.698783130521754,4.4674112352058675,4.679946657776296,64.95499763145429,12955,7115,15201,0,0,2083,8494,2144,47992,158,73885,Martin,Wrigley,Male
E14001382,Newton Aycliffe and Spennymoor,England,North East,County,Lab,RUK,20.566681724639864,46.1627264970135,3.741906339406716,0,0,4.268935401294986,23.979822315916277,1.2799277217286553,22.182904181097225,55.17690230561517,8195,18394,1491,0,0,1701,9555,510,39846,79,72215,Alan,Strickland,Male
E14001383,Normanton and Hemsworth,England,Yorkshire and The Humber,County,Lab,RUK,13.741781066879419,47.525378965033426,3.6287105559987896,0,0,5.9066274175355575,29.19750199455281,0,18.32787697048062,48.05208539890277,4995,17275,1319,0,0,2147,10613,0,36349,137,75645,Jon,Trickett,Male
S14000048,North Ayrshire and Arran,Scotland,Scotland,County,Lab,SNP,14.088306279873173,39.801713122900004,2.3780228100894423,31.399365860583977,0,3.139936586058398,8.080545170602432,1.1121101698925748,8.40234726231603,58.55409000221681,5954,16821,1005,13270,0,1327,3415,470,42262,161,72176,Irene,Campbell,Female
E14001384,North Bedfordshire,England,East of England,County,Con,Lab,38.75215763852524,28.251973390741064,10.769767847791936,0,0,5.870716239017862,16.355384883923897,0,10.500184247784178,65.39124920735574,19981,14567,5553,0,0,3027,8433,0,51561,210,78850,Richard,Fuller,Male
E14001385,North Cornwall,England,South West,County,LD,Con,27.587081666504048,5.7722704654112595,47.01726997755878,0,0,2.6051322080202945,16.47770514196507,0.5405405405405406,19.430188311054735,66.77656011779884,14137,2958,24094,0,0,1335,8444,277,51245,47,76741,Ben,Maguire,Male
E14001386,North Cotswolds,England,South West,County,Con,LD,34.693105576459814,17.107646976846045,28.00971550299628,0,0,6.352903701049195,12.94471321348225,0.8919150291664177,6.683390073463537,68.61604032621614,17426,8593,14069,0,0,3191,6502,448,50229,188,73203,Geoffrey,Clifton-Brown,Male
E14001387,North Devon,England,South West,County,LD,Con,29.32104167882218,6.254740649979579,42.43732617616742,0,0,4.566583036738821,15.825505183110645,1.5948032751813601,13.116284497345235,65.01979033624603,15076,3216,21820,0,0,2348,8137,820,51417,132,79079,Ian,Roome,Male
E14001388,North Dorset,England,South West,County,Con,LD,36.64835054243906,8.795765151057706,33.450073465773,0,0,4.190568202403236,15.888734577219571,1.0265080611074209,3.1982770766660633,68.34915394139497,18208,4370,16619,0,0,2082,7894,510,49683,153,72690,Simon,Hoare,Male
E14001389,North Durham,England,North East,County,Lab,RUK,15.618910140743413,39.846024299290264,10.123902321664863,0,0,5.692289185612895,25.71634788884879,3.002526163839769,14.129676410441478,56.76262529702565,6492,16562,4208,0,0,2366,10689,1248,41565,162,73226,Luke,Akehurst,Male
E14001390,North East Cambridgeshire,England,East of England,County,Con,RUK,41.46926689810088,20.441086379415967,6.932816009801919,0,0,5.107719011639779,23.118746171125178,2.930365529916275,18.3505207269757,54.78318021003762,16246,8008,2716,0,0,2001,9057,1148,39176,145,71511,Steve,Barclay,Male
E14001391,North East Derbyshire,England,East Midlands,County,Lab,Con,34.53102516024942,38.35302838704051,4.707190511489992,0,0,4.951380107269001,17.221907295164172,0.235468538786901,3.822003226791087,62.62937979626949,15838,17591,2159,0,0,2271,7899,108,45866,120,73234,Louise,Jones,Female
S14000100,North East Fife,Scotland,Scotland,County,LD,SNP,3.89908256880734,9.422392810335143,54.727579105036504,23.18152031454784,0,3.8686575547650253,4.900767646508145,0,31.546058790488672,61.248244029700984,1666,4026,23384,9905,0,1653,2094,0,42728,147,69762,Wendy,Chamberlain,Female
E14001392,North East Hampshire,England,South East,County,LD,Con,36.97624190064795,9.10187185025198,38.117350611951046,0,0,2.564794816414687,12.010439164866812,1.2293016558675307,1.1411087113030958,72.22807222807222,20544,5057,21178,0,0,1425,6673,683,55560,143,76923,Alex,Brewer,Female
E14001393,North East Hertfordshire,England,East of England,County,Lab,Con,31.292840822543795,34.954303122619955,10.401751713632903,0,0,7.239146991622239,16.111957349581115,0,3.661462300076161,67.59591747429116,16435,18358,5463,0,0,3802,8462,0,52520,173,77697,Chris,Hinchliff,Male
E14001394,North East Somerset and Hanham,England,South West,County,Lab,Con,30.161369193154037,40.56528117359413,7.585330073349633,0,0,6.3022004889975545,14.521271393643032,0.8645476772616136,10.403911980440098,69.19162527575146,15420,20739,3878,0,0,3222,7424,442,51125,142,73889,Dan,Norris,Male
E14001395,North Herefordshire,England,West Midlands,County,Green,Con,31.456256701481276,6.3639251816846025,2.851356181247766,0,0,43.15952503871967,15.980302609110042,0.1886342877566419,11.703268337238395,69.18142231135899,15842,3205,1436,0,0,21736,8048,95,50362,145,72797,Ellie,Chowns,Female
E14001396,North Norfolk,England,East of England,County,LD,Con,35.930956784218694,6.117807112641626,41.42592946878388,0,0,2.9887549688582786,13.536551665497523,0,5.494972684565185,65.85150760099667,16903,2878,19488,0,0,1406,6368,0,47043,138,71438,Steffan,Aquarone,Male
E14001397,North Northumberland,England,North East,County,Lab,Con,26.181847961836908,36.55590360952439,10.58288802899085,0,0,3.568576868742706,15.740228896668917,7.3705546342362265,10.374055647687488,65.83501819652244,12788,17855,5169,0,0,1743,7688,3600,48843,149,74190,David,Smith,Male
E14001398,North Shropshire,England,West Midlands,County,LD,Con,21.984514255756746,6.902044602169617,52.85720046779853,0,0,2.488204218252208,15.499858853893617,0.2681776021292898,30.872686212041778,63.93203820917071,10903,3423,26214,0,0,1234,7687,133,49594,120,77573,Helen,Morgan,Female
E14001399,North Somerset,England,South West,County,Lab,Con,34.40650225049288,35.594985678681695,13.244429565152698,0,0,6.0874902354647915,10.419224044935461,0.24736822527247704,1.1884834281888181,72.24088356219602,18499,19138,7121,0,0,3273,5602,133,53766,177,74426,Sadik,Al-Hassan,Male
E14001400,North Warwickshire and Bedworth,England,West Midlands,County,Lab,Con,30.603321934538346,35.97215437225208,2.9995114802149487,0,0,4.28676111382511,26.13825109916952,0,5.368832437713728,58.693657529533205,12529,14727,1228,0,0,1755,10701,0,40940,141,69752,Rachel,Taylor,Female
E14001401,North West Cambridgeshire,England,East of England,County,Lab,Con,33.193769133801545,33.28155951737799,7.185305240410589,0,0,6.663065009904557,19.676301098505313,0,0.08779038357644517,58.51807943094251,14746,14785,3192,0,0,2960,8741,0,44424,184,75915,Sam,Carling,Male
