pano,ONSConstID,ConstituencyName,Region,ConstituencyType,IndexOfChange,Winner19,Second19,Con19,Lab19,LD19,SNP19,PC19,Green19,Brexit19,Other19,Majority19,Turnout19,ConVote19,LabVote19,LDVote19,SNPVote19,PCVote19,GreenVote19,BrexitVote19,OtherVote19,TotalVote19,Electorate19
578,E14001542,Tewkesbury,South West,County,36.3,Con,LD,58.1,15.69,22,0,0,4.22,0,0,36.1,74.4,31291,8448,11848,0,0,2271,0,0,53858,72426
579,E14001216,East Thanet,South East,Borough,33.5,Con,Lab,53.45,37.62,5.19,0,0,3.74,0,0,15.83,64.9,25616,18031,2486,0,0,1791,0,0,47924,73790
580,E14001544,Thirsk and Malton,Yorkshire and The Humber,County,29.6,Con,Lab,62.5,17.79,12.46,0,0,4.5,0,2.75,44.71,68.1,32624,9287,6502,0,0,2348,0,1437,52198,76623
581,E14001545,Thornbury and Yate,South West,County,10.9,Con,LD,58.48,8.74,32.56,0,0,0.22,0,0,25.92,74.8,32798,4899,18260,0,0,126,0,0,56083,74935
582,E14001546,Thurrock,East of England,Borough,8.8,Con,Lab,59.91,32.95,3.13,0,0,1.67,0,2.35,26.96,60.5,26580,14618,1390,0,0,739,0,1042,44369,73347
583,E14001547,Tipton and Wednesbury,West Midlands,Borough,70.2,Con,Lab,50.71,38.42,3.13,0,0,1.89,5.85,0,12.29,51.7,19371,14678,1195,0,0,722,2234,0,38200,73820
584,E14001548,Tiverton and Minehead,South West,County,109.5,Con,LD,61.32,14.31,19.49,0,0,4.26,0,0.63,41.82,69.8,30297,7070,9632,0,0,2103,0,309,49411,70829
585,E14001549,Tonbridge,South East,County,31.9,Con,Lab,64.76,15.08,12.29,0,0,7.88,0,0,49.68,73.9,35262,8210,6690,0,0,4288,0,0,54450,73692
586,E14001550,Tooting,London,Borough,none,Lab,Con,28.22,52.69,14.2,0,0,3.96,0.79,0.13,24.47,76,16504,30811,8305,0,0,2314,462,77,58473,76986
587,E14001551,Torbay,South West,Borough,1.6,Con,LD,59.07,12.99,24.25,0,0,2.42,0,1.27,34.83,67.3,30109,6620,12358,0,0,1236,0,648,50971,75742
588,W07000109,Torfaen,Wales,County,12.6,Lab,Con,33.31,42.74,4.95,0,3.6,2.22,13.18,0,9.44,61.7,14506,18616,2157,0,1566,966,5742,0,43553,70591
589,E14001552,Torridge and Tavistock,South West,County,7.7,Con,LD,59.83,17.86,17.94,0,0,3.37,0,1,41.89,73.1,32708,9761,9809,0,0,1843,0,547,54668,74802
590,E14001553,Tottenham,London,Borough,35.7,Lab,Con,11.1,77.79,5.04,0,0,4.3,1.29,0.48,66.68,60.2,5076,35564,2306,0,0,1965,588,221,45720,75968
591,E14001554,Truro and Falmouth,South West,County,22,Con,Lab,46.83,38.75,10.84,0,0,2.76,0,0.82,8.08,75.3,25842,21383,5981,0,0,1522,0,450,55178,73326
